,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
3698,233,249,200,9.0,15.666666666666666,-6.666666666666666,154.0,154.11111111111111,-0.11111111111111427
3699,233,249,201,11.0,17.09090909090909,-6.09090909090909,145.0,150.27272727272728,-5.2727272727272805
3700,233,249,202,11.0,16.818181818181817,-5.818181818181817,134.0,141.1818181818182,-7.181818181818187
3701,233,249,203,7.0,16.571428571428573,-9.571428571428573,125.0,137.28571428571428,-12.285714285714278
3702,233,250,194,22.0,20.772727272727273,1.2272727272727266,179.0,177.5909090909091,1.4090909090909065
3703,233,250,195,26.0,22.153846153846153,3.8461538461538467,180.0,177.03846153846155,2.961538461538453
3704,233,250,196,26.0,22.46153846153846,3.53846153846154,179.0,176.1153846153846,2.884615384615387
3705,233,250,197,20.0,21.75,-1.75,175.0,173.15,1.8499999999999943
3706,233,250,200,14.0,16.142857142857142,-2.1428571428571423,153.0,153.42857142857142,-0.4285714285714164
3707,233,250,201,17.0,17.705882352941178,-0.7058823529411775,144.0,149.7058823529412,-5.705882352941188
3708,233,250,202,17.0,17.41176470588235,-0.4117647058823515,135.0,141.11764705882354,-6.117647058823536
3709,233,250,203,11.0,16.90909090909091,-5.90909090909091,127.0,137.27272727272728,-10.27272727272728
3710,233,251,192,15.0,19.0,-4.0,176.0,178.73333333333332,-2.73333333333332
3711,233,251,193,22.0,20.318181818181817,1.6818181818181834,181.0,179.63636363636363,1.363636363636374
3712,233,251,194,24.0,23.458333333333332,0.5416666666666679,184.0,181.54166666666666,2.458333333333343
3713,233,251,195,26.0,24.5,1.5,185.0,181.34615384615384,3.6538461538461604
3714,233,251,196,26.0,24.0,2.0,183.0,179.6153846153846,3.384615384615387
3715,233,251,197,20.0,23.2,-3.1999999999999993,178.0,175.9,2.0999999999999943
3716,233,251,200,14.0,18.857142857142858,-4.857142857142858,151.0,152.14285714285714,-1.1428571428571388
3717,233,251,201,17.0,19.823529411764707,-2.8235294117647065,142.0,148.8235294117647,-6.823529411764696
3718,233,251,202,17.0,18.647058823529413,-1.647058823529413,135.0,141.1764705882353,-6.176470588235304
3719,233,251,203,11.0,17.818181818181817,-6.818181818181817,129.0,137.9090909090909,-8.909090909090907
3720,233,252,192,20.0,19.45,0.5500000000000007,179.0,179.3,-0.30000000000001137
3721,233,252,193,26.0,21.0,5.0,184.0,180.84615384615384,3.1538461538461604
3722,233,252,194,26.0,24.192307692307693,1.8076923076923066,187.0,183.6153846153846,3.384615384615387
3723,233,252,195,26.0,25.26923076923077,0.73076923076923,188.0,184.03846153846155,3.961538461538453
3724,233,252,196,26.0,24.692307692307693,1.3076923076923066,185.0,181.8846153846154,3.115384615384613
3725,233,252,197,22.0,23.818181818181817,-1.8181818181818166,179.0,177.27272727272728,1.7272727272727195
