voxel_id,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
294,80,157,33,9,15.4444444444,-6.44444444444,610.0,646.0,-36.0
295,80,158,20,14,10.2857142857,3.71428571429,639.0,594.142857143,44.8571428571
296,80,158,21,12,10.9166666667,1.08333333333,580.0,601.0,-21.0
297,80,158,32,14,16.6428571429,-2.64285714286,625.0,663.428571429,-38.4285714286
298,80,158,33,15,16.2,-1.2,625.0,666.266666667,-41.2666666667
299,80,159,20,16,12.6875,3.3125,620.0,606.125,13.875
300,80,159,21,16,13.1875,2.8125,605.0,599.9375,5.0625
301,80,159,31,13,18.6153846154,-5.61538461538,611.0,659.846153846,-48.8461538462
302,80,159,32,20,18.25,1.75,722.0,667.1,54.9
303,80,159,33,18,18.1111111111,-0.111111111111,695.0,681.944444444,13.0555555556
304,80,160,20,18,14.8333333333,3.16666666667,628.0,618.222222222,9.77777777778
305,80,160,21,21,15.2380952381,5.7619047619,612.0,605.19047619,6.80952380952
306,80,160,31,18,19.5555555556,-1.55555555556,592.0,641.277777778,-49.2777777778
307,80,160,32,25,19.08,5.92,666.0,658.44,7.56
308,80,160,33,19,19.4736842105,-0.473684210526,731.0,675.052631579,55.9473684211
309,80,161,20,19,15.9473684211,3.05263157895,663.0,626.631578947,36.3684210526
310,80,161,21,24,16.8333333333,7.16666666667,626.0,611.291666667,14.7083333333
311,80,161,22,18,17.3333333333,0.666666666667,508.0,602.555555556,-94.5555555556
312,80,161,31,20,19.65,0.35,575.0,630.0,-55.0
313,80,161,32,26,19.4615384615,6.53846153846,598.0,644.307692308,-46.3076923077
314,80,161,33,18,20.3333333333,-2.33333333333,670.0,655.277777778,14.7222222222
315,80,162,20,17,16.9411764706,0.0588235294118,672.0,638.529411765,33.4705882353
316,80,162,21,24,18.0833333333,5.91666666667,611.0,620.083333333,-9.08333333333
317,80,162,22,21,18.9047619048,2.09523809524,514.0,601.904761905,-87.9047619048
318,80,162,31,17,18.5882352941,-1.58823529412,610.0,624.117647059,-14.1176470588
319,80,162,32,23,18.347826087,4.65217391304,612.0,632.217391304,-20.2173913043
320,80,162,33,17,18.8235294118,-1.82352941176,627.0,635.352941176,-8.35294117647
321,80,163,20,15,16.8,-1.8,679.0,658.266666667,20.7333333333
322,80,163,21,23,18.2608695652,4.73913043478,654.0,639.956521739,14.0434782609
323,80,163,22,22,20.5454545455,1.45454545455,541.0,623.318181818,-82.3181818182
324,80,163,23,20,19.05,0.95,603.0,586.85,16.15
325,80,163,24,12,18.6666666667,-6.66666666667,526.0,590.083333333,-64.0833333333
326,80,163,32,17,15.8235294118,1.17647058824,624.0,636.352941176,-12.3529411765
327,80,163,33,14,15.8571428571,-1.85714285714,667.0,634.214285714,32.7857142857
328,80,164,20,14,16.7142857143,-2.71428571429,663.0,669.5,-6.5
